20 400
2 -11 -13
-10 10 19
-6 -2 -3
-3 -18 1
6 15 10
-12 2 -2
-9 -12 -13
-2 -3 -15
-5 19 14
15 -10 19
7 10 13
-5 -7 -17
8 -4 8
17 -17 -9
5 14 -5
-8 -18 2
19 -3 -4
14 15 -5
-7 17 -8
-13 -2 8
17 9 -5
1 4 -8
12 14 -16
6 -20 6
17 -18 -2
19 12 -7
-3 16 2
17 16 6
5 -13 -18
1 17 1
17 1 -15
7 -17 -13
-16 -7 17
16 6 -3
5 11 3
11 -20 -3
-10 14 -8
1 -7 -12
-18 13 4
-18 -9 9
1 -18 -11
-14 -12 -17
-6 2 5
-16 -14 -14
-16 -11 17
5 -20 -18
14 14 -8
18 7 7
-15 -18 -4
6 1 -19
10 -5 6
-5 -1 15
-15 -18 9
-18 -20 -13
-12 -14 17
-11 2 -16
12 15 -19
-5 -9 -14
-8 13 -12
-14 -15 17
2 19 -18
-18 -4 -19
6 6 11
17 14 -14
-3 9 15
-6 11 6
-12 8 5
14 4 13
15 10 20
15 -12 -3
-4 -16 2
18 5 -20
15 -3 9
7 -8 20
-7 19 -12
17 8 -13
20 8 -1
-18 -11 10
4 -12 14
-14 6 20
-16 -17 17
10 -2 14
1 -12 11
-16 -20 13
-3 -14 9
1 11 -3
-9 8 -2
-3 1 1
1 8 -17
20 -4 7
-13 -16 2
17 -12 -11
-4 -3 19
-2 16 -9
8 14 15
12 11 -2
-2 14 10
-14 13 14
-11 13 -7
7 19 -20
-17 -9 9
10 -1 -20
-15 17 20
4 7 -19
20 -1 -9
1 -20 -12
-12 -9 1
-6 -11 6
1 -3 4
-1 17 10
15 19 -4
-13 15 4
20 8 -20
7 -18 -11
11 -2 -1
1 17 -18
6 -9 2
-12 -12 -16
20 -9 -19
-13 15 -15
-18 -3 -16
-12 20 15
-6 17 -16
13 -11 10
8 -19 8
1 -17 -5
18 -2 -18
-1 -8 1
4 -3 19
11 16 -18
-11 -18 17
19 12 -12
11 -7 -6
-2 -5 -15
-19 -9 8
8 -5 17
-19 4 -7
-17 -14 19
5 11 -17
-9 13 -14
6 -9 18
19 -7 9
13 -18 18
1 15 -16
-20 -2 2
10 17 -9
6 4 -3
-13 -9 -20
-2 -16 13
2 -3 -10
19 -14 -9
1 13 7
2 1 -6
-6 17 14
-5 14 8
1 13 7
10 19 14
19 -16 -17
14 1 4
-16 6 -1
-11 15 12
-13 -15 10
-3 11 17
-18 17 2
1 14 -8
17 17 2
4 -20 15
4 13 14
-1 2 1
8 -10 -18
-14 11 2
10 8 4
19 17 13
-18 -9 17
4 20 19
1 20 -14
-3 -16 15
13 -9 -7
-18 10 12
-19 13 -7
10 16 13
-20 -17 -3
-5 -17 11
11 -9 -3
-10 13 -1
14 -4 -18
2 17 -17
17 20 17
-5 5 -19
20 2 -9
7 -19 -12
7 15 1
15 1 -18
13 20 -17
5 6 4
-11 19 -14
16 -3 3
-16 12 2
8 15 8
5 -12 -12
15 -9 10
1 -18 10
13 2 4
-9 18 -4
-6 -20 -12
-1 -18 4
-5 15 19
-9 -1 -20
-12 17 14
13 -13 14
17 -20 19
15 8 13
12 8 4
-7 -1 1
20 -18 -12
-18 15 -3
19 -1 12
17 -13 -1
20 1 -18
-18 3 9
-4 20 -18
19 6 -12
1 10 -20
11 -3 18
-14 7 -19
-15 -8 19
-2 -12 -20
20 11 13
8 8 2
13 -1 7
-8 17 15
4 6 20
14 9 -3
9 17 4
19 -16 -2
15 -16 20
-15 -18 9
2 1 -14
11 1 19
14 -20 -18
17 2 12
-5 -5 -9
-16 -5 11
14 -11 14
-11 -20 6
10 -13 -14
-20 2 3
5 -9 -11
1 11 -5
14 18 -10
11 14 6
-12 -1 1
-1 8 3
12 2 2
-16 -13 -10
-18 -20 19
-4 12 4
12 -11 -9
-7 -10 7
-16 5 -12
7 -18 7
19 -3 19
20 10 8
8 -20 -13
-6 -7 11
17 -16 6
19 11 -16
-9 -10 -16
19 -19 -14
11 -6 -8
7 17 12
10 -16 -4
-12 -20 -11
-12 1 10
-14 -10 -12
-9 -6 9
11 -12 19
5 6 -2
-3 5 3
-20 -2 -10
3 -9 10
-12 -2 -1
-16 13 15
1 15 11
-5 10 19
-3 -8 -2
-7 -19 15
13 -8 -5
2 2 -9
19 14 3
-15 2 -3
9 6 -5
-5 -14 -15
9 8 15
-3 19 18
-4 4 7
5 19 19
-8 -3 -6
2 19 3
4 -6 -5
15 -18 -3
-3 3 3
15 -3 -19
-13 15 15
3 9 2
-4 -18 16
10 20 -15
-19 17 10
-7 19 -17
16 -2 8
3 -9 -11
10 2 -10
-4 -20 -16
-19 4 10
-15 11 -13
-13 -16 9
-9 8 13
7 -17 -4
-3 15 -15
-16 5 11
-8 8 12
3 19 2
2 -7 8
11 12 13
-13 1 17
-8 17 2
11 18 -1
-2 10 19
19 1 9
12 8 14
16 -2 -18
-16 11 -8
-2 17 -16
-7 -13 14
-20 4 9
20 17 19
9 -3 12
-18 13 19
18 -7 2
17 18 -5
-5 1 20
-5 17 10
4 18 17
13 10 8
-5 -16 -6
-10 17 -15
-8 -9 1
7 2 17
8 -12 -5
-8 16 7
10 4 -18
10 10 -9
8 -1 -20
15 8 -7
1 -11 -16
19 13 -16
8 14 6
-7 -3 -18
13 -18 -5
-2 13 -18
12 -9 6
-15 -3 15
-6 4 3
-10 11 11
-13 -8 -12
-5 15 2
-16 -8 -18
-3 2 17
-5 17 -4
-20 14 -16
11 -4 4
12 -3 11
4 11 18
-9 -17 14
3 13 9
1 11 -5
13 10 -7
11 -10 -13
-13 -9 -7
-5 -5 2
-16 -4 10
-3 10 5
12 4 17
8 -1 -5
10 6 14
14 7 14
20 15 -18
1 18 18
-7 8 -5
-13 15 1
1 -7 -9
1 -16 -4
-2 7 17
10 -10 -9
-6 -15 6
-10 13 -11
7 20 20
12 13 3
-1 4 -4
14 12 4
