20 100
2 5 19
-1 5 -19
2 6 9
6 -9 17
-17 -9 19
-5 -9 -19
10 2 11
-1 2 -11
-6 2 -10
12 9 18
-1 9 -18
11 9 -12
7 9 -11
5 7 -9
9 -7 11
3 -7 -11
-7 -9 14
5 -9 -14
3 6 7
-7 -5 19
6 -5 -19
-6 -2 12
-2 3 19
-12 3 -19
9 6 11
6 18 19
-1 18 -19
-11 6 -18
-3 11 14
12 11 -14
-12 -9 14
11 -9 -14
-3 -11 12
10 -11 -12
-9 11 19
6 11 -19
-10 -9 -11
5 16 19
9 16 -19
7 9 -16
-1 -9 19
5 -9 -19
-6 -1 12
-7 -1 -12
-1 -3 11
-11 -3 14
6 -3 -14
9 -5 11
-5 -11 14
-14 -11 19
10 -11 -19
-5 -1 19
-10 -1 -19
-5 -9 11
-9 -6 12
-11 -6 -12
6 1 12
5 1 -12
-6 9 11
1 -11 12
-11 -12 14
9 -12 -14
8 -6 -9
-6 5 19
-8 5 -19
4 1 13
9 1 -13
-9 6 14
1 6 -14
-5 18 19
14 18 -19
11 14 -18
7 11 -14
-11 1 19
-5 1 -19
-6 -5 -7
-4 1 14
6 1 -14
8 1 9
7 1 -9
1 7 19
12 7 -19
13 -8 19
1 -8 -19
-12 -8 -13
8 1 18
-6 1 -18
18 -7 19
-8 -7 -19
1 -8 -18
-13 1 17
19 4 -3
-18 -20 -6
7 18 -20
-12 5 3
20 -12 3
11 -17 19
12 -18 -19
-6 -9 -4
-3 -20 14
